0: n01440764,丁鲷  
1: n01443537,金鱼  
2: n01484850,大白鲨  
3: n01491361,虎鲨  
4: n01494475,锤头鲨  
5: n01496331,电鳐  
6: n01498041,黄貂鱼  
7: n01514668,公鸡  
8: n01514859,母鸡  
9: n01518878,鸵鸟  
10: n01530575,燕雀  
11: n01531178,金翅雀  
12: n01532829,家朱雀  
13: n01534433,灯芯草雀  
14: n01537544,靛蓝雀,靛蓝鸟  
15: n01558993,蓝鹀  
16: n01560419,夜莺   
17: n01580077,松鸦  
18: n01582220,喜鹊  
19: n01592084,山雀  
20: n01601694,河鸟  
21: n01608432,鸢（猛禽）  
22: n01614925,秃头鹰  
23: n01616318,秃鹫  
24: n01622779,大灰猫头鹰  
25: n01629819,欧洲火蝾螈  
26: n01630670,普通蝾螈  
27: n01631663,水蜥  
28: n01632458,斑点蝾螈  
29: n01632777,蝾螈,泥狗  
30: n01641577,牛蛙  
31: n01644373,树蛙  
32: n01644900,尾蛙,铃蟾蜍,肋蟾蜍,尾蟾蜍  
33: n01664065,红海龟  
34: n01665541,皮革龟  
35: n01667114,泥龟  
36: n01667778,淡水龟  
37: n01669191,箱龟  
38: n01675722,带状壁虎  
39: n01677366,普通鬣蜥  
40: n01682714,美国变色龙  
41: n01685808,鞭尾蜥蜴  
42: n01687978,飞龙科蜥蜴  
43: n01688243,褶边蜥蜴  
44: n01689811,鳄鱼蜥蜴  
45: n01692333,毒蜥  
46: n01693334,绿蜥蜴  
47: n01694178,非洲变色龙  
48: n01695060,科莫多蜥蜴  
49: n01697457,非洲鳄,尼罗河鳄鱼  
50: n01698640,美国鳄鱼,鳄鱼  
51: n01704323,三角龙  
52: n01728572,雷蛇,蠕虫蛇  
53: n01728920,环蛇,环颈蛇  
54: n01729322,希腊蛇  
55: n01729977,绿蛇,草蛇  
56: n01734418,国王蛇  
57: n01735189,袜带蛇,草蛇  
58: n01737021,水蛇  
59: n01739381,藤蛇  
60: n01740131,夜蛇  
61: n01742172,大蟒蛇  
62: n01744401,岩石蟒蛇,岩蛇,蟒蛇  
63: n01748264,印度眼镜蛇  
64: n01749939,绿曼巴  
65: n01751748,海蛇  
66: n01753488,角腹蛇  
67: n01755581,菱纹响尾蛇  
68: n01756291,角响尾蛇  
69: n01768244,三叶虫  
70: n01770081,盲蜘蛛  
71: n01770393,蝎子  
72: n01773157,黑金花园蜘蛛  
73: n01773549,谷仓蜘蛛  
74: n01773797,花园蜘蛛  
75: n01774384,黑寡妇蜘蛛  
76: n01774750,狼蛛  
77: n01775062,狼蜘蛛,狩猎蜘蛛  
78: n01776313,壁虱  
79: n01784675,蜈蚣  
80: n01795545,黑松鸡  
81: n01796340,松鸡,雷鸟  
82: n01797886,披肩鸡,披肩榛鸡  
83: n01798484,草原鸡,草原松鸡  
84: n01806143,孔雀  
85: n01806567,鹌鹑  
86: n01807496,鹧鸪  
87: n01817953,非洲灰鹦鹉  
